Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
9/24/2019,87.08049774,113.8086624,156.450882,30.35824585,60.91650009,118.2638626,103.1403503,181.2799988,28.98661232,111.2670441
9/25/2019,88.41649628,114.3687134,155.7249603,30.48888016,62.29700089,117.7604294,103.7293091,182.8000031,28.89807129,110.735939
9/26/2019,86.99199677,114.1700058,156.8751068,30.59465218,62.11449814,115.8365707,102.8766251,180.1100006,28.8014698,111.8971329
9/27/2019,86.27249908,114.3506622,157.4528046,30.22138596,61.29750061,115.6118164,103.4831619,177.1000061,29.15564919,112.1311722
9/30/2019,86.79550171,114.0977173,159.7445679,30.05342102,61.05699921,116.3130264,103.4567871,178.0800018,28.92221832,111.960144
10/1/2019,86.78250122,110.5386658,156.7330627,29.84813118,60.29999924,116.8614273,101.5756226,175.8099976,28.51973724,111.4830704
10/2/2019,85.66149902,108.3616791,154.6022186,29.62417793,58.89599991,118.6684113,99.55377197,174.6000061,27.93211746,108.9896774
10/3/2019,86.22100067,108.4339294,156.0985107,29.6863842,59.4715004,117.9402313,99.4119873,179.3800049,28.53583527,109.5837555
10/4/2019,86.98249817,109.3372574,158.8070068,30.14051437,60.54800034,120.160759,101.565239,180.4499969,28.92221832,111.6180725
10/7/2019,86.63300323,108.623642,157.727417,30.14673233,60.41249847,119.7112656,101.3437042,179.6799927,28.84172058,110.5739212
10/8/2019,85.27549744,106.5640869,156.2310638,29.71749115,59.50650024,118.5245743,99.08413696,177.75,28.51973724,108.8546448
10/9/2019,86.09950256,107.8919601,157.6137238,29.80459023,60.11999893,116.1691895,99.80187988,179.8500061,28.7290287,109.7997971
10/10/2019,86.01300049,110.8277359,158.9111938,29.49975777,60.4734993,116.0253448,101.2019272,180.0299988,28.80952644,109.7637787
10/11/2019,86.59600067,115.9856567,161.8943481,29.55574417,60.78549957,118.0660782,102.9121017,184.1900024,29.06710815,108.9986649
10/14/2019,86.82150269,115.967598,159.9813385,29.30690575,60.88850021,117.5177002,103.1868057,183.2799988,29.22005081,108.0625229
10/15/2019,88.3690033,118.3613739,163.494812,29.2757988,62.11199951,119.4235916,106.2970276,188.8899994,29.3810482,105.4971085
10/16/2019,88.87149811,117.6026001,161.9985046,27.93829727,62.15000153,121.5182419,106.048912,189.5500031,29.25225067,105.7941589
10/17/2019,89.37400055,119.3008347,163.0213013,27.40951538,62.63999939,122.417244,106.642601,190.3899994,29.34884453,105.6546173
